leaderboard_publish_date,elo_max,lag_1,lag_2,lag_4,lag_8,lag_12,roll_mean_4,roll_mean_12,roll_std_4,week_of_year,week_sin,week_cos,t
2023-08-06,1096.0,1096.0,1096.0,1065.0,1075.0,1094.0,1080.5,1078.3333333333333,17.897858344878426,31,-0.5680647467311556,-0.8229838658936566,12
2023-08-13,1096.0,1096.0,1096.0,1065.0,1075.0,1094.0,1088.25,1078.5,15.500000000000012,32,-0.663122658240795,-0.7485107481711013,13
2023-08-20,1096.0,1096.0,1096.0,1096.0,1065.0,1075.0,1096.0,1078.6666666666667,0.0,33,-0.7485107481711011,-0.6631226582407952,14
2023-08-27,1096.0,1096.0,1096.0,1096.0,1065.0,1075.0,1096.0,1080.4166666666667,0.0,34,-0.8229838658936564,-0.5680647467311559,15
2023-09-03,1096.0,1096.0,1096.0,1096.0,1065.0,1075.0,1096.0,1082.1666666666667,0.0,35,-0.8854560256532096,-0.4647231720437691,16
2023-09-10,1097.0,1096.0,1096.0,1096.0,1065.0,1075.0,1096.0,1083.9166666666667,0.0,36,-0.9350162426854147,-0.3546048870425359,17
2023-09-17,1097.0,1097.0,1096.0,1096.0,1096.0,1065.0,1096.25,1085.75,0.5000000000003789,37,-0.970941817426052,-0.23931566428755774,18
2023-09-24,1097.0,1097.0,1097.0,1096.0,1096.0,1065.0,1096.5,1088.4166666666667,0.5773502691899703,38,-0.992708874098054,-0.12053668025532357,19
2023-10-01,1097.0,1097.0,1097.0,1096.0,1096.0,1065.0,1096.75,1091.0833333333333,0.5000000000003789,39,-1.0,-1.8369701987210297e-16,20
2023-10-08,1099.0,1097.0,1097.0,1097.0,1096.0,1065.0,1097.0,1093.75,0.0,40,-0.992708874098054,0.1205366802553232,21
2023-10-15,1099.0,1099.0,1097.0,1097.0,1096.0,1096.0,1097.5,1096.5833333333333,1.0000000000001894,41,-0.9709418174260521,0.23931566428755738,22
2023-10-22,1099.0,1099.0,1099.0,1097.0,1096.0,1096.0,1098.0,1096.8333333333333,1.1547005383793991,42,-0.9350162426854148,0.35460488704253557,23
2023-10-29,1099.0,1099.0,1099.0,1097.0,1096.0,1096.0,1098.5,1097.0833333333333,1.0000000000001894,43,-0.8854560256532101,0.464723172043768,24
2023-11-05,1099.0,1099.0,1099.0,1099.0,1097.0,1096.0,1099.0,1097.3333333333333,0.0,44,-0.822983865893657,0.5680647467311548,25
2023-11-12,1096.0,1099.0,1099.0,1099.0,1097.0,1096.0,1099.0,1097.5833333333333,0.0,45,-0.7485107481711011,0.6631226582407952,26
2023-11-19,1093.0,1096.0,1099.0,1099.0,1097.0,1096.0,1098.25,1097.5833333333333,1.5000000000001263,46,-0.6631226582407955,0.7485107481711007,27
2023-11-26,1093.0,1093.0,1096.0,1099.0,1097.0,1096.0,1096.75,1097.3333333333333,2.87228132326908,47,-0.5680647467311559,0.8229838658936564,28
2023-12-03,1093.0,1093.0,1093.0,1099.0,1099.0,1097.0,1095.25,1097.0833333333333,2.87228132326908,48,-0.4647231720437684,0.88545602565321,29
2023-12-10,1124.9588260120663,1093.0,1093.0,1096.0,1099.0,1097.0,1093.75,1096.75,1.5000000000001263,49,-0.35460488704253595,0.9350162426854147,30
2023-12-17,1150.1805019946523,1124.9588260120663,1093.0,1093.0,1099.0,1097.0,1100.9897065030166,1099.0799021676721,15.979413006033168,50,-0.2393156642875578,0.970941817426052,31
2023-12-24,1128.6336315397584,1150.1805019946523,1124.9588260120663,1093.0,1099.0,1097.0,1115.2848320016797,1103.5116106672265,27.715948591966683,51,-0.12053668025532363,0.992708874098054,32
2023-12-31,1128.6336315397584,1128.6336315397584,1150.1805019946523,1093.0,1099.0,1099.0,1124.1932398866193,1106.1477466288732,23.584311216318707,52,6.432490598706546e-16,1.0,33
2024-01-07,1128.6336315397584,1128.6336315397584,1128.6336315397584,1124.9588260120663,1096.0,1099.0,1133.1016477715589,1108.6172159238529,11.516931678703944,1,0.12053668025532305,0.992708874098054,34
2024-01-14,1190.498739179503,1128.6336315397584,1128.6336315397584,1150.1805019946523,1093.0,1099.0,1134.020349153482,1111.0866852188328,10.773435227446887,2,0.23931566428755774,0.970941817426052,35
2024-01-21,1190.624874176147,1190.498739179503,1128.6336315397584,1128.6336315397584,1093.0,1099.0,1144.0999084496946,1118.711580150458,30.932553819872258,3,0.3546048870425356,0.9350162426854148,36
2024-01-28,1189.3786960061411,1190.624874176147,1190.498739179503,1128.6336315397584,1093.0,1099.0,1159.5977191087918,1126.3469863318037,35.754285668293136,4,0.4647231720437685,0.8854560256532099,37
2024-02-04,1253.0426073408823,1189.3786960061411,1190.624874176147,1128.6336315397584,1124.9588260120663,1096.0,1174.7839852253874,1133.8785443323154,30.772000166120755,5,0.5680647467311558,0.8229838658936564,38
2024-02-11,1253.0426073408823,1253.0426073408823,1189.3786960061411,1190.498739179503,1150.1805019946523,1093.0,1205.8862291756684,1146.9654282773888,31.442574416478095,6,0.6631226582407952,0.7485107481711011,39
2024-02-18,1253.5648625769247,1253.0426073408823,1253.0426073408823,1190.624874176147,1128.6336315397584,1093.0,1221.522196216013,1160.3023122224624,36.4001911622219,7,0.7485107481711011,0.6631226582407953,40
2024-02-25,1253.5648625769247,1253.5648625769247,1253.0426073408823,1189.3786960061411,1128.6336315397584,1093.0,1237.2571933162076,1173.6827174372063,31.919947646405888,8,0.8229838658936564,0.5680647467311559,41
2024-03-03,1253.5648625769247,1253.5648625769247,1253.5648625769247,1253.0426073408823,1128.6336315397584,1124.9588260120663,1253.3037349589035,1187.06312265195,0.3015242011746458,9,0.8854560256532099,0.4647231720437686,42
